iata_code,airport_name,city_name
LUM,德宏芒市机场,保山
LYG,连云港花果山机场,连云港
LZH,柳州白莲机场,柳州
LZY,林芝米林机场,林芝
MFM,澳门国际机场,澳门
NZL,扎兰屯成吉思汗机场,呼伦贝尔
QSZ,且末玉都机场,乌鲁木齐
SHS,荆州沙市机场,荆州
SJW,石家庄正定机场,石家庄
SWA,揭阳潮汕机场,揭阳
TLQ,吐鲁番交河机场,吐鲁番
TPE,台北桃园机场,台北
TWC,塔城千泉机场,克拉玛依
UYN,榆林榆阳机场,榆林
XFN,襄阳刘集机场,襄阳
XIC,西昌青山机场,攀枝花
YBP,宜宾五粮液机场,宜宾
YCU,运城张孝机场,运城
YIH,宜昌三峡机场,宜昌
YIN,伊宁机场,乌鲁木齐
YIW,义乌机场,金华
YKH,营口兰旗机场,营口
YNZ,盐城南洋机场,盐城
ZHA,湛江吴川机场,湛江
ZHY,中卫沙坡头机场,中卫
ZYI,遵义新舟机场,遵义
LDS,伊春林都机场,伊春
DLU,大理凤仪机场,保山
GYS,广元盘龙机场,广元
HEK,黑河瑷珲机场,黑河
JIC,金昌金川机场,金昌
AHJ,阿坝红原机场,成都
BAR,琼海博鳌国际机场,海口
BPX,昌都邦达机场,昌都
CDE,承德普宁机场,承德
CGD,常德桃花源机场,常德
CIH,长治王村机场,长治
DNH,敦煌莫高国际机场,酒泉
DOY,东营胜利机场,东营
DSN,鄂尔多斯伊金霍洛国际机场,鄂尔多斯
FUG,阜阳机场,阜阳
GOQ,格尔木机场,西宁
HDG,邯郸机场,邯郸
HLD,呼伦贝尔海拉尔国际机场,呼伦贝尔
HLH,乌兰浩特义勒力特机场,通辽
HMI,哈密伊州机场,哈密
HNY,衡阳南岳机场,衡阳
HTN,和田昆冈机场,乌鲁木齐
HYN,台州路桥机场,台州
HZG,汉中城固机场,汉中
JDZ,景德镇罗家机场,景德镇
JGN,嘉峪关酒泉机场,嘉峪关
JGS,吉安井冈山机场,吉安
JMU,佳木斯松江国际机场,佳木斯
JNG,济宁大安机场,济宁
JSJ,建三江湿地机场,佳木斯
JUH,池州九华山机场,池州
JUZ,衢州机场,衢州
KOW,赣州黄金机场,赣州
KRL,库尔勒梨城机场,乌鲁木齐
KRY,克拉玛依古海机场,克拉玛依
LFQ,临汾尧都机场,临汾
LGZ,山南隆子机场,山南
LLV,吕梁大武机场,吕梁
LNL,陇南成县机场,陇南
LYI,临沂启阳国际机场,临沂
LZO,泸州云龙机场,泸州
MIG,绵阳南郊机场,绵阳
MXZ,梅州梅县机场,梅州
NAO,南充高坪机场,南充
NDG,齐齐哈尔三家子机场,齐齐哈尔
NGQ,阿里昆莎机场,日喀则
NNY,南阳姜营机场,南阳
OHE,漠河古莲机场,黑河
PZI,攀枝花保安营机场,攀枝花
RKZ,日喀则和平机场,日喀则
RLK,巴彦淖尔天吉泰机场,巴彦淖尔
SHF,石河子花园机场,乌鲁木齐
SQD,上饶三清山机场,上饶
SQJ,三明沙县机场,三明
SYM,普洱思茅机场,普洱
TCZ,腾冲驼峰机场,保山
TEN,铜仁凤凰机场,铜仁
TGO,通辽机场,通辽
TNH,通化三源浦机场,通化
WDS,十堰武当山机场,十堰
WEF,潍坊机场,潍坊
WGN,邵阳武冈机场,邵阳
WMT,遵义茅台机场,遵义
WUA,乌海机场,乌海
WUS,武夷山机场,南平
XIL,锡林浩特机场,乌兰察布
YIC,宜春明月山机场,宜春
YNJ,延吉朝阳川国际机场,吉林
YSQ,松原查干湖机场,松原
YTW,于田万方机场,乌鲁木齐
YUS,玉树巴塘机场,西宁
YZY,张掖甘州机场,张掖
ZQZ,张家口宁远机场,张家口
