flight_no,stop_order,airport_code
CZ1878,1,XIY
CZ2339,1,XNN
CZ2630,1,XIY
CZ4150,1,WUH
CZ4701,1,LHW
CZ4714,1,CGO
CZ4843,1,TFU
CZ6770,1,INC
CZ7098,1,XIY
CZ7960,1,HET
CZ8404,1,CGO
CZ8979,1,HET
CZ9282,1,HET
CZ9713,1,INC
HO5177,1,TYN
HU1909,1,CGO
KN7388,1,XIY
MF6530,1,WUH
TV5067,1,XNN
TV6091,1,KMG
3U2031,1,CKG
9C6254,1,TYN
9C6352,1,XNN
9C6499,1,XIY
CA1423,1,TFU
CA2722,1,CSX
CA3630,1,CGO
CA4123,1,CKG
CA4125,1,TFU
CA4731,1,HET
CA4905,1,LHW
CZ1442,1,LHW
CZ2122,1,XIY
CZ2892,1,HET
CZ4962,1,CSX
CZ5471,1,CGO
CZ6454,1,XIY
CZ6668,1,XNN
CZ7618,1,XIY
CZ8085,1,XNN
CZ8499,1,XIY
CZ8523,1,XIY
CZ8669,1,TFU
CZ8864,1,LHW
CZ9239,1,LHW
CZ9354,1,INC
HO6222,1,XIY
HU7326,1,LHW
HU9335,1,XIY
JD2610,1,XIY
JD7005,1,CGO
KN8828,1,KMG
SC6836,1,CGO
TV2124,1,CTU
9C1888,1,CGO
9C2354,1,TFU
9C4271,1,TFU
9C6461,1,HET
9C7138,1,LHW
CA1251,1,TYN
CA2515,1,XIY
CA2714,1,CKG
CA4907,1,CGO
CA7972,1,XIY
CZ1008,1,HET
CZ1357,1,XIY
CZ2378,1,CGO
